gh_username,company,twitter,location
Evran0,Riha Telecom,,"Bujumbura,  Burundi"
INGANZAMARUMPU,Hogitugende,inganzamarumpu,"Bujumbura, Burundi"
chriscedrick,No Company,,"Bujumbura,Burundi"
kiddocoder,From Home,coderkiddo,"Bujumbura, Burundi"
sgenlecroyant,Asyst Resources Ltd,sgenlecroyant,Bujumbura Burundi
JovinMtl,Self-employed,Mtl_Thierry_Jov,"Bujumbura, Burundi"
jeremylanes,Lane Industries,switchlane3,Bujumbura
EloM28,No Company,,BURUNDI
TonyBimenyi,@hogiburundi,bimenyimana_b,"Bujumbura, Burundi"
tertcoder,Mediabox,bon_tertius,"Bujumbura, Burundi"
Ndikuma,No Company,AdnesNdiku10883,Burundi
dukizwe,Mediabox,dukizwee,Bujumbura
NIMPAYE,@ubuhingavizion,,Burundi
mugar,No Company,,Burundi
muco-rolle,Leapa,mucotreso,"Bujumbura, Burundi"
ArtcalO,@ksquad,ArtcalO97,"Bujumbura, BURUNDI"
Novus-Tech237,Novus Technologies,,"Yaounde, Cameroon"
momo-87,Full-stack Developer,Momo_yde,Cameroon - Yaounde
chojuninengu,Clemios,chojuninengu,Cameroon
OkonoWil,@wetell-africa  @jeunesmentors @sylvanacare<br/><br/>,OkonoWilfried,"Douala,Cameroon"
Tomdieu,Trixgroup,navicorp_,Cameroon
itzomen,Traleor,itz_omen,"Buea, Cameroon"
ln-dev7,@mus-inn,ln_dev7,Cameroon
bpsmartdesign,@think-dev-io,bpsmartdesign,"Yaoundé - Douala, Cameroon"
BorisGautier,"@gpchat-platform, @geosmfamily",Boris_Gauty,"Douala,Cameroun"
mzirkof,No Company,mzirkof,"Douala, Cameroon"
Nkwenti-Severian-Ndongtsop,No Company,n_severian,"Cameroon, Bangangte"
andrew21-mch,@skye8-tech @city-solutions @kimbo-lingo <br/>,nfonandrew73,bamenda
Ojay01,Amene Academy,OjKellyKingston,Douala Cameroon
karimalik,@workify,KKompissi,"Douala, Cameroun"
clintjeff2,Landmark Technologies / Zenva<br/>Tech<br/>,,Buea - Cameroon
bossadizenith,No Company,bossadizenith,"Cameroon, Yaounde"
NyuydineBill,Zilotech,BillNyuydine,Cameroon
Level237,Freelancer,LevelBrams,Douala-Cameroun
ndemeyvan,No Company,ndemeyvan,Douala/Cameroon
moforemmanuel,No Company,Mofor_Emmanuel1,"Bamenda, Cameroon"
adoumouangnamouemmanuel,Ashesi University,,Chad
Sanusihassan,No Company,,Chad
mittb1g,No Company,,Chad
Djerade,No Company,,Chad
sulzokeboulin,No Company,,"West Joshuaburgh, Chad"
mahamat-ali,Anavatech,terapfils30,"Ndjamena, Chad"
Abdelkerim516,No Company,,N'djamena
doudouabdoulaye,No Company,,"Tchad, Moundou"
malachieborohoul,No Company,malachiborohoul,Chad
SanaaBH7,No Company,,Chad
DaneX3089,Google,,chad
DevItnene,No Company,,N'Djamena - Tchad
Kakaymi10,No Company,,"NDjamena, Chad"
Mbaigo,Thtc,,N'Djamena
OneMusty,No Company,,Chad
Roukhaya,No Company,,N'djamena
Aingo2003,No Company,,Tchad-n'djamena
youssoufgao,No Company,,N'djamena
borkounou,Mahrasoft  Innovations,borkounou,"Ndjamena, Chad"
koubra-gaby,No Company,KoubraG63161,Chad
kalemadaniel,Ulb Cooperation,KalemaDaniel2,"Democratic Republic of the Congo, Goma"
baruka99,Upperz,david_baruka,"Congo, Kinshasa"
Merite15,No Company,,"Brazzaville, Congo"
Cesar008,Cesoentreprise,CesarLouzala,Congo
BIZ4Africa,Business Solutions For Africa<br/>,,"Lubumbashi, République Démocratique du Congo"
GedeonTS,@evoludata,Gedeon191,"Goma, DR Congo"
Holsonmp,@holduix,Holsonmp,"Kinshasa, Congo CD"
TeddyCubaka,@woubou,tedblymks,"Kinshasa, Democratic Republic of the Congo"
esaiemuhasa,No Company,esaiemuhasa,"R.D. Congo, Butembo"
josiasDjo,Djodev,,"Goma, DR Congo"
bruxx-6243,@akieni-tech,bryan_6243,Brazzaville - Congo
guillainbisimwa,Freelance Full-stack Developer,gullain_bisimwa,Democratic Republic of the Congo
bienfaitshm,No Company,bienfaitshm,lubumbashi/ Republic democratique of the congo
FimboIsso,Issonet Inc.,IssoFimbo,"Beni, Democratic Republic Of Congo"
hamswaldenkv,No Company,hamsddxn,Congo Kinshasa
Tresor-Kasenda,@devscast | @tresorkasenda,TresorKasenda,Lubumbashi - Rd Congo
glody007,No Company,,Lubumbashi City in the Democratic Republic of the Congo
pbokolo,No Company,,"Beni, Congo DR"
DestinBir,"Code, Growth Alive",DestinBir,Congo Kinshasa
Meschacirung,@tailus-ui,MeschacIrung,Democratic Republic of Congo
Sheekovic,Sheeko Production,Sheekovic,Egypt
3bsalam-1,Suez Canal University,3BSALAM_1,"Ismailia, Egypt"
MarcoFekry,No Company,,Egypt
moelzanaty3,Engineering Manager @ Vodafone<br/>,moelzanaty3,"Cairo, Egypt"
fadyehabamer,No Company,fadyehabamer,Egypt
AbdelazizSoliman,Microverse,Abdelaz21958317,"Egypt, Assuit"
Saifallak,@aquadic,,Egypt
CodeNKoffee,No Company,h4temsoliman,"Cairo, Egypt"
AhmadIbrahiim,No Company,,Cairo
abd3lraouf,@gettimewarden,,Egypt
mohammed-bahumaish,Buildpilot.ai,,"Cairo, Egypt."
maherelgamil,@msaaqcom,maherelgamil,"Cairo , Egypt"
AhmedElTabarani,No Company,,"Al Arish, North Sinai, Egypt"
doaa10,Salamdev,,alexandria egypt
maxzod,@sitmena,maxzod66,"Mansoura , Egypt"
mo7amed4a,No Company,,"Mallawi , Elminya , Egypt"
G0maa,Wisemen,,Egypt
Abdullah4345,Elsewedy University Of Technology<br/>,,"Cairo, Egypt"
khaledhosny,Alif Type,,Cairo
AbdallahHemdan,@instabug,AbdallahHemda17,"Cairo, Egypt"
abela12,@gashadigital @siltawi,,"Ethiopia , Addis Abeba"
mohammedsbd,No Company,,Addis Ababa
shambel-amare,Tworobots Universe,shambelamare21,"Addis Ababa, Ethiopia"
tokukiyu,Quantumkit,,Addis Ababa
Micky373,Upwork,,"Ethiopia, Addis Ababa"
TibebeJS,No Company,,Ethiopia
filiksyos,Bahirdar Universty,filiksyos,Ethiopia
adilmohak,Hulugram,adilmohak1,"Addis ababa, Ethiopia"
natnaeln4d,No Company,natnaeln4d,"Addis Ababa, Ethiopia"
Fitsumhelina,@tetercreatives @techtonic-tribe,,Addis Ababa
melaku-z,No Company,,Ethiopia
anon381,No Company,,Ethiopia
yeab-B,@techtonic-tribe <br/>@tetercreatives<br/>,,Addis Ababa
Benomi,No Company,,"Addis Ababa, Ethiopia"
Akuna444,No Company,,Addis Ababa
ba5liel,@knovuslab,basliel16,"Addis Abeba, Ethiopia"
degagawolde,Ethiopian Artificial Intelligence Institute<br/>,irraaangorree,"Addis Ababa, Ethiopia"
tinsaye-simeneh,Ablaze Labs | The<br/>Flex<br/>,,"Addis Ababa, Ethiopia"
Son-OfAnton,Addis Ababa University,a_d_m_a_s,Addis Ababa
SemereT627,No Company,Semere627,Addis Ababa
Joeboy77,No Company,,"Accra, Ghana"
sedegah,@codecadence,heiskimathi,Ghana
KelvCodes,Bytebao,,Accra
Aristocratjnr,One Africa Market,,"Accra , Ghana"
Khoby-790,No Company,bhra_khoby,"Accra, Ghana"
austinbediako,@volteryde,kaeytee_,"Accra, Ghana"
mkhstar,No Company,mkhstar,"Kumasi, Ghana"
danieladeabah,Amalitech,,"Takoradi, Western Region, Ghana."
KAsare1,No Company,,"Tema, Ghana"
felixyeboah,Complete Farmer Llc,sudocode_,"Accra, Ghana"
jaedag,@codefoundry-dev,jd_addy,"Accra, Ghana"
DreKwasi,Vaux,,"Accra, Ghana"
noelzappy,Noelzappy.dev,noelzappy,Ghana
Burkifa23,Ashesi University,burkifa23,"Ghana, Accra"
maxwellkwarteng7,Sabonay Technologies,,Ghana
Mmabiaa,Tech-by-mmabiaa,mmabiaa,Ghana
okraks,No Company,okraks,Accra Ghana
Raymond-ap,@asaseos,,"Ghana, Accra"
qbentil,@uploader-africa,themanbentil,Ghana
bamtak,African Institute For Mathematical<br/>Sciences<br/>(aims)<br/>,,"Accra, Ghana"
amdefiguy,No Company,,Kenya
codeabuu,Freelancer(remote),,Kenya
iVGeek,W∆k∆nd∆,,Kenya
