gh_username,company,twitter,location
RBen19,No Company,,"Dakar, Senegal"
flrxnt,@arcopsn,,"Dakar, Sénégal"
i2sac,Zone01 Dakar,okinobal,"Dakar, Senegal"
sibylassana95,Sibyglobal,sibyog13,Senegal
fassane,No Company,fassane_,"Dakar, Senegal"
eliusxpol,@efficity,eliusx,Senegal
JAC0164,No Company,jaco_164,"Dakar, Senegal"
Alkaly02,Kappar Sasu,alkaly_badjii,Suisse - Senegal
MiceBishop,Weego Mobility Lab,mice_bishop,"Dakar, Senegal"
Denver-sn,Dexchange,Denver_sn,"Senegal,Dakar"
niangamadou888,No Company,,"Saint-Louis, Senegal"
Kepsondiaz,No Company,Diazkepson,"Dakar, Senegal"
domutala,@advensya,,"Dakar, Sénégal"
Mevizcode,No Company,DavidCole_24,"Freetown, Sierra Leone"
walonCode,Wj,,Freetown
EmmanuelKeifala,No Company,,"Freetown, Sierra Leone"
BarrieLAJ,"@monimesl , @monime-lab <br/>",Abarrie_potter,"Freetown, Sierra Leone"
Mmah-Zombo,Korlie Limited,zombo_mah,"Wilberforce, Freetown."
butagreeza,Byte Limited,,Freetown. Sierra Leone
Jahrulo,No Company,,"Freetown, Sierra Leone"
medal007,Medal Techie,,"No 43 Soldier Street Freetown, Sierra Leone"
pythonnelson,Cio And Founder Of<br/>Oversight<br/>Innovative<br/>Technologies<br/>,pythonnelson,Freetown
Dennis2340,@geneline-x,,Freetown Sierra Leone
abdullah4tech,@geneline-x | @dropx-labs |<br/>@n8bird-oss<br/>,abdullah4tech_,"Freetown, Sierra Leone."
mmsesay,Fusesl,DeeMaejor,"Freetown, Sierra Leone"
Dumbuya1475,Tech Inspire Sl,msdumbuya1475,Freetown-Sierra Leone
Emmie05,No Company,EmmForster,"Freetown, Sierra Leone"
khat-19,Universal Tech Hub,MawuliahMansar1,Freetown Sierra Leone
AlphaDumbuya,No Company,AlphaDumbuya7,"Freetown, sierra Leone"
ssturay,"Fourah Bay College (fbc),<br/>University<br/>Of<br/>Sierra<br/>Leone<br/>(usl)<br/>",,"Freetown, Sierra Leone"
Leonardo14406,No Company,,"Freetown, Sierra Leone"
davidddeveloper,No Company,_david_conteh,"Freetown, SierraLeone"
rolandeke,Imo Tech Solutions,EkeRoland,"Freetown, Sierra Leone"
dbfx,@join-panda,,"Johannesburg, South Africa"
snopoke,@dimagi,snopoke,Cape Town
V-FOR-VEND3TTA,Big O Media,imgeorgebest,"Johannesburg, South Africa"
CarlaLlama,"Orca Fraud, Inc.",,"Cape Town, South Africa"
czue,"Saas Pegasus, Dimagi",czue,"Cape Town, South Africa"
JasonTame,@offerzen,,"Cape Town, South Africa"
KellanStevens,Tripco,,"Cape Town, South Africa"
marcusinthesky,Solenya-aiaas,marcusinthesky,"Cape Town, South Africa"
Linf0rd,No Company,,"Johannesburg, South Africa"
kialanpillay,Stitch Money,,Cape Town
itskingori,Zappi,itskingori,"Cape Town, South Africa"
skibz,@io-digital,,"Cape Town, South Africa"
adrianmoisey,Salesloft,,"Cape Town, South Africa"
knightspore,No Company,parabyl,Cape Town
Executioner1939,No Company,,Cape Town
wkirschbaum,Floatpays,,"Cape Town, South Africa"
mauriceLC92,Yellow Card Financial,,"Cape Town, South Africa"
davidteren,No Company,davidteren,"Cape Town, South Africa"
bradleymarques,@haikucode-dev,,Johannesburg
longhotsummer,@laws-africa,,"Cape Town, South Africa"
hacktolove,Sudan News Agency -<br/>Suna<br/>,,Sudan
mustafa-online,No Company,,"Khartoum, Sudan"
star4droid,No Company,,Sudan
AminOmer,Sudan University Of Science<br/>And<br/>Technology<br/><br/>,AminOmerM,"Khartoum, Sudan"
alsir,No Company,,"Khartoum , sudan"
abdosaeedelhassan,No Company,abdosaeedtweet,"Al-Thawrah H 19, Omdurman, Sudan"
EMAD77,No Company,KingofMENA,Sudan
Almandeel,Khlel,moeznew,Sudan
wali-eldin-hassan,Tamkeen Technology,cre_al,Sudan
TheYass1n,No Company,TheYass1n,Sudan
Bakrialtaif,Kashta,bakriatlaif,Sudan
harranali,No Company,harran_ali,Sudan
MohdMuslim92,No Company,MohdMuslim92,Sudan - Khartoum
riek27,No Company,,"Juba, South sudan"
Moe-Baker,No Company,,Sudan-Khartoum
3li-3bdullah,Injaazy,AliAbdullah49,Sudan / Khartoum
hamoda-dev,@morph-sa,hamoda_dev,Sudan
Ahmed-Alkhatim,Inovar,,Sudan
osmanabdelsalam,Taawuniya Insurance Company,osman_abd,Sudan / Khartoum
asimsharf,Sudagoarth Co.ltd - سوداغورث<br/>المحدودة<br/><br/>,asimsharf,Sudan
KaReeeeeeeeEM,University Of Dar Es<br/>Salaam<br/>,,"Dar-es-salaam, Tanzania"
tacheraSasi,Ekilie,,Dar es salaam
tarxemo,Tarxemo,,Dodoma-Tanzania
kwayummari,No Company,,"Tanzania, Dar es Salaam"
pro-cms,Zepson Technologies,,TANZANIA
CodeWithCrescent,No Company,,"Dar es Salaam, Tanzania"
AK1239,No Company,_akil_khatri,"Dar es Salaam, Tanzania"
TheSimonSays,No Company,,Tanzania
FrugenceFidel,No Company,frugencefidel,Tanzania
Raj067,Minfoxy Technology Company,rajabumrisho69,"Tanzania, Dar es saalaam"
andylamax,Asoft Limited,andy_lamax,Tanzania
islandkid-20,@appziro,,"Dar Es Salaam,Tanzania"
isaacadam25,No Company,,Dar-es-salaam Tanzania
nnkogift,@hisptz,nnko_gift,"Dar Es Salaam, Tanzania"
Is-haka,No Company,dev_ishaka,"Arusha, Tanzania 🇹🇿"
gernest,No Company,,"Arusha, Tanzania"
T4z4r,No Company,,Tanzania
efron07,Brain Tech Inc,damascoefron,Dodoma- Tanzania
luqmantuke,Tuke Solutions,tuke2911,Dar-es-salaam Tanzania
zekgyn,Passkago Limited,,Dar es Salaam
haythemgalelem,No Company,haythem_galelem,Tunisia
thevpc,Core Techs Solutions,,Tunisia
MohamedBechirMejri,No Company,0x4D424D,Tunisia
AzizBenIsmail,@dar-blockchain,,"Tunisia, Djerba"
jaafar-harabi,Day Truck,Jaafar_harabiii,Tunisia
safwendammak,Freelancer,,Tunisia
siguici,@sikessem,siguici,"Nabeul, Tunisia."
amine-y,@axelites,,Tunisia
khchine5,No Company,khchine5,World citizen / Tunisia
HijenHEK,@inspark-connect,HijenHEK,Tunisia
FirasKahlaoui,Higher Institute Of Computer<br/>Science<br/>(isi)<br/>,firas_kahlaoui,Tunisia
moataz-hjaiji,Masar,,tunisia
chadiayari,No Company,,"Nabeul, Tunisia"
iheb-sebai,Massar,,Tunisia
boubaker,Exo Platform,,Tunisia
marwaniiwael18,No Company,,"Ariana, Tunisia"
FirasLatrech,Softylines,,Tunisia
Hiviexd,@ppy,,Tunisia
ayoubbuoya,@dar-blockchain,ayoub__amer,Tunisia
zied-snoussi,Bysur,ziedalsnoussi,Tunisia
alsong,No Company,,"Kampala, Uganda"
kallyas,@solitontelmecuganda,kallyasl,Uganda
GenoJ83,No Company,,Kampala
John4650-hub,@gamered,jdevoc,Uganda kampala
Wanfadger,Https://github.com/b,wanfadger,"Kampala , uganda"
kashua14,@chartrflex @uganda-christian-un,joshkasasira,"Kampala, Uganda"
Kasuletrevor,No Company,KasuleTrevor,"Kampala, Uganda"
judeotine,No Company,Judeotine,Uganda
MartinKalema,Aibos,,"Kampala, Uganda."
Tagoole,Free Lancer,,Kampala
amkayondo,@opensource-now @open-nux @nuxjs @wearedelovery<br/>,kayondoedward,"Kampala, Uganda"
arafats1,Mobiklinic,,"Kampala, Uganda"
Tibz-Dankan,No Company,TibzDankan,Kampala/Uganda
Baalmart,No Company,,Kampala
marvins56,No Company,,Kampala( Uganda)
paulobunga,Feza Cloud Solutions Llc<br/>,,Kampala UG
mdrdavid,Techvilage,Mdrdavid2,Uganda East Africa
Williamug,@nugsoft,WilliamAsaba,"Kampala, Uganda"
slubambo,Uganda Christian University,syLubambo,Uganda
OchiengPaul442,@airqo-platform,OchiengTech,Uganda
TamaniPhiri,Tamatech,,lusaka Zambia
DamianoSilverhand,@good-nature-agro,,"Lusaka, Zambia"
marksikaundi,@lupleg,Alisikaundi,Zambia
S4INT25,No Company,,lusaka zambia
SamWaku,Student,,"LUSAKA, ZAMBIA"
aubreyzulu,@bongohive,,"Lusaka, Zambia"
ngalande,No Company,,"Lusaka, Zambia"
Mwalek,@inpsyde-global-serv,mwale_and_sons,"Lusaka, Zambia"
ericknamukolo,@lassod-consulting,erickmndev,"Lusaka, Zambia"
Deewiliams,Desireirankundawilli,DesireIrankund7,"Africa,Zambia"
engineervix,@torchbox,engineervix,"Lusaka, Zambia"
Euphemia1,Student,,"Ndola, Copper belt Zambia."
lwandokasuba,Think Zambia,lwandokas,"Kitwe, Zambia"
Chuma04,Pistis Foundation Limited |<br/>Zambezi<br/>Digital<br/>|<br/>Kuala<br/>Tech<br/>,,"Lusaka, Zambia & Ndola, Zambia"
fderyckel,No Company,,"Lusaka, Zambia"
madlabs-ally,@melospot,,Zambia
Serge-N,Freelancer,,"Lusaka, Zambia"
barthkapepula,No Company,,Zambia
cacious7,@connexcs,,"Lusaka, Zambia"
genthegreat,@adsonads,princekwesi7,Zambia
mrfr8nk,Synapex Cop,mrfr4nkofc,"Zimbabwe, Harare"
mhodieknowledge,No Company,,"Bulawayo, Zimbabwe"
eisax,Eisax Software Services,,Zimbabwe
KumaloWilson,@kingsmansoftwareser,KumaloWilson,Bulawayo Zimbabwe
CyprianTinasheAarons,Freelancer,CyprianAarons,Zimbabwe
Tadiwr,@codaptdev,tadiwrr,Zimbabwe
xeroxzen,"Vectra Dynamics, Optimeer Labs,<br/>Emzini<br/>Wecode,<br/>Zimworx<br/>",andilejaden,Zimbabwe
Patizy-tel,Flostec Digital Solutions,PatizyTel,Zimbabwe
codewithkin,Groundupmvp,codewithkin,"Mutare, Zimbabwe"
XJ76,@wyv-inc,,Harare
emarss,Eyetro Digital,emarss04,"Harare, Zimbabwe"
iamngoni,Codecraft Solutions,iamngoni,Harare
tendaikatsande,Konekta Solutions,,Zimbabwe
TanyaMushonga,@cypher-solutions,,bulawayo
fariraimasocha,Codecrafters,fariraijames,Harare
skyridertk,No Company,skyridertk,"Harare, Zimbabwe"
VincentMugondora,Uncommon.org,,"Mufakose, Harare, Zimbabwe"
PraiseTechzw,Appixia Softwares,,Zimbabwe
protendai,@code-stallion-zw,karumatendai,Harare Zimbabwe
couragemhute,Petalm Africa Group,coat,Harare
